plan_id,user_id,subscription_date,expiration_date
1,1,2020-10-25,2021-10-25
2,2,2020-09-25,2021-09-25
3,3,2020-08-07,2021-08-07
4,4,2020-10-19,2021-10-19
5,5,2020-08-06,2021-08-06
6,6,2020-09-29,2021-09-29
7,7,2020-10-30,2021-10-30
8,8,2020-10-15,2021-10-15
9,9,2020-08-31,2021-08-31
10,10,2020-03-08,2021-03-08
11,11,2020-07-06,2021-07-06
12,12,2020-08-21,2021-08-21
13,13,2020-10-13,2021-10-13
14,14,2020-09-19,2021-09-19
15,15,2020-10-10,2021-10-10
16,16,2020-08-07,2021-08-07
17,17,2020-11-23,2021-11-23
18,18,2020-12-15,2021-12-15
19,19,2020-02-10,2021-02-09
20,20,2020-09-25,2021-09-25
21,21,2020-05-31,2021-05-31
22,22,2020-08-29,2021-08-29
23,23,2020-11-27,2021-11-27
24,24,2020-10-12,2021-10-12
25,25,2020-11-16,2021-11-16
26,26,2020-11-11,2021-11-11
27,27,2020-08-03,2021-08-03
28,28,2020-06-19,2021-06-19
29,29,2020-12-26,2021-12-26
30,30,2020-02-28,2021-02-27
31,31,2020-10-10,2021-10-10
32,32,2020-11-29,2021-11-29
33,33,2020-10-15,2021-10-15
34,34,2020-10-21,2021-10-21
35,35,2020-02-27,2021-02-26
36,36,2020-09-03,2021-09-03
37,37,2020-12-10,2021-12-10
38,38,2020-11-01,2021-11-01
39,39,2020-12-01,2021-12-01
40,40,2020-06-07,2021-06-07
41,41,2020-09-28,2021-09-28
42,42,2020-12-25,2021-12-25
43,43,2020-10-22,2021-10-22
44,44,2020-12-09,2021-12-09
45,45,2020-09-17,2021-09-17
46,46,2020-01-08,2021-01-07
47,47,2020-08-30,2021-08-30
48,48,2020-02-23,2021-02-22
49,49,2020-08-17,2021-08-17
50,50,2020-09-04,2021-09-04
51,51,2020-08-27,2021-08-27
52,52,2020-08-12,2021-08-12
53,53,2020-08-28,2021-08-28
54,54,2020-07-11,2021-07-11
55,55,2020-11-10,2021-11-10
56,56,2020-12-05,2021-12-05
57,57,2020-12-22,2021-12-22
58,58,2020-12-29,2021-12-29
59,59,2020-09-17,2021-09-17
60,60,2020-12-10,2021-12-10
61,61,2020-06-19,2021-06-19
62,62,2020-10-22,2021-10-22
63,63,2020-10-02,2021-10-02
64,64,2020-01-05,2021-01-04
65,65,2020-09-16,2021-09-16
66,66,2020-06-25,2021-06-25
67,67,2020-10-20,2021-10-20
68,68,2020-08-25,2021-08-25
69,69,2020-01-28,2021-01-27
70,70,2020-09-07,2021-09-07
71,71,2020-08-15,2021-08-15
72,72,2020-09-05,2021-09-05
73,73,2020-12-04,2021-12-04
74,74,2020-12-13,2021-12-13
75,75,2020-10-02,2021-10-02
76,76,2020-11-27,2021-11-27
77,77,2020-09-01,2021-09-01
78,78,2020-09-22,2021-09-22
79,79,2020-12-15,2021-12-15
80,80,2020-12-28,2021-12-28
81,81,2020-12-23,2021-12-23
82,82,2020-11-02,2021-11-02
83,83,2020-06-01,2021-06-01
84,84,2020-03-22,2021-03-22
85,85,2020-11-05,2021-11-05
86,86,2020-10-04,2021-10-04
87,87,2020-09-22,2021-09-22
88,88,2020-09-13,2021-09-13
89,89,2020-08-05,2021-08-05
90,90,2020-10-30,2021-10-30
91,91,2020-11-30,2021-11-30
92,92,2020-11-29,2021-11-29
93,93,2020-08-12,2021-08-12
94,94,2020-10-10,2021-10-10
95,95,2020-12-18,2021-12-18
96,96,2020-10-20,2021-10-20
97,97,2020-02-04,2021-02-03
98,98,2020-10-17,2021-10-17
99,99,2020-09-21,2021-09-21
100,100,2020-12-26,2021-12-26
101,101,2020-08-25,2021-08-25
102,102,2020-08-11,2021-08-11
103,103,2020-12-15,2021-12-15
104,104,2020-10-07,2021-10-07
105,105,2020-10-21,2021-10-21
106,106,2020-05-28,2021-05-28
107,107,2020-03-11,2021-03-11
108,108,2020-09-13,2021-09-13
109,109,2020-12-12,2021-12-12
110,110,2020-11-12,2021-11-12
111,111,2020-04-19,2021-04-19
112,112,2020-06-13,2021-06-13
113,113,2020-10-16,2021-10-16
114,114,2020-12-08,2021-12-08
115,115,2020-03-25,2021-03-25
116,116,2020-05-07,2021-05-07
117,117,2020-10-22,2021-10-22
118,118,2020-11-10,2021-11-10
119,119,2020-08-11,2021-08-11
120,120,2020-12-02,2021-12-02
121,121,2020-12-25,2021-12-25
122,122,2020-12-07,2021-12-07
123,123,2020-11-12,2021-11-12
124,124,2020-11-30,2021-11-30
125,125,2020-09-17,2021-09-17
126,126,2020-08-27,2021-08-27
127,127,2020-04-08,2021-04-08
128,128,2020-07-16,2021-07-16
129,129,2020-01-31,2021-01-30
130,130,2020-11-17,2021-11-17
131,131,2020-04-03,2021-04-03
132,132,2020-06-06,2021-06-06
133,133,2020-08-31,2021-08-31
134,134,2020-05-07,2021-05-07
135,135,2020-10-07,2021-10-07
136,136,2020-11-07,2021-11-07
137,137,2020-11-22,2021-11-22
138,138,2020-05-04,2021-05-04
139,139,2020-09-02,2021-09-02
140,140,2020-07-21,2021-07-21
141,141,2020-04-11,2021-04-11
142,142,2020-04-18,2021-04-18
143,143,2020-12-09,2021-12-09
144,144,2020-08-10,2021-08-10
145,145,2020-09-23,2021-09-23
146,146,2020-08-27,2021-08-27
147,147,2020-12-05,2021-12-05
148,148,2020-10-13,2021-10-13
149,149,2020-12-07,2021-12-07
150,150,2020-06-22,2021-06-22
151,151,2020-12-11,2021-12-11
152,152,2020-11-03,2021-11-03
153,153,2020-10-10,2021-10-10
154,154,2020-11-12,2021-11-12
155,155,2020-03-31,2021-03-31
156,156,2020-10-18,2021-10-18
157,157,2020-04-22,2021-04-22
158,158,2020-11-11,2021-11-11
159,159,2020-09-17,2021-09-17
160,160,2020-12-22,2021-12-22
161,161,2020-02-06,2021-02-05
162,162,2020-08-06,2021-08-06
163,163,2020-01-21,2021-01-20
164,164,2020-12-08,2021-12-08
165,165,2020-08-18,2021-08-18
166,166,2020-01-08,2021-01-07
167,167,2020-12-31,2021-12-31
168,168,2020-02-03,2021-02-02
169,169,2020-11-25,2021-11-25
170,170,2020-04-21,2021-04-21
171,171,2020-10-28,2021-10-28
172,172,2020-09-15,2021-09-15
173,173,2020-08-12,2021-08-12
174,174,2020-12-03,2021-12-03
175,175,2020-12-05,2021-12-05
176,176,2020-09-26,2021-09-26
177,177,2020-12-09,2021-12-09
178,178,2020-12-29,2021-12-29
179,179,2020-10-25,2021-10-25
180,180,2020-03-03,2021-03-03
181,181,2020-10-12,2021-10-12
182,182,2020-11-20,2021-11-20
183,183,2020-09-13,2021-09-13
184,184,2020-10-06,2021-10-06
185,185,2020-09-01,2021-09-01
186,186,2020-10-21,2021-10-21
187,187,2020-08-30,2021-08-30
188,188,2020-10-12,2021-10-12
189,189,2020-07-22,2021-07-22
190,190,2020-09-30,2021-09-30
191,191,2020-08-15,2021-08-15
192,192,2020-12-25,2021-12-25
193,193,2020-08-14,2021-08-14
194,194,2020-09-09,2021-09-09
195,195,2020-08-30,2021-08-30
196,196,2020-12-28,2021-12-28
197,197,2020-12-04,2021-12-04
198,198,2020-01-10,2021-01-09
199,199,2020-04-05,2021-04-05
200,200,2020-09-16,2021-09-16
201,201,2020-11-30,2021-11-30
202,202,2020-11-25,2021-11-25
203,203,2020-11-22,2021-11-22
204,204,2020-08-17,2021-08-17
205,205,2020-11-20,2021-11-20
206,206,2020-10-19,2021-10-19
207,207,2020-12-08,2021-12-08
208,208,2020-05-23,2021-05-23
209,209,2020-10-03,2021-10-03
210,210,2020-01-01,2020-12-31
211,211,2020-03-12,2021-03-12
212,212,2020-11-22,2021-11-22
213,213,2020-11-01,2021-11-01
214,214,2020-11-10,2021-11-10
215,215,2020-10-09,2021-10-09
216,216,2020-10-18,2021-10-18
217,217,2020-08-07,2021-08-07
218,218,2020-12-02,2021-12-02
219,219,2020-10-07,2021-10-07
220,220,2020-10-30,2021-10-30
221,221,2020-08-15,2021-08-15
222,222,2020-08-25,2021-08-25
223,223,2020-02-28,2021-02-27
224,224,2020-08-28,2021-08-28
225,225,2020-10-31,2021-10-31
226,226,2020-11-21,2021-11-21
227,227,2020-12-02,2021-12-02
228,228,2020-11-08,2021-11-08
229,229,2020-01-16,2021-01-15
230,230,2020-10-26,2021-10-26
231,231,2020-10-24,2021-10-24
232,232,2020-08-23,2021-08-23
233,233,2020-12-24,2021-12-24
234,234,2020-10-12,2021-10-12
235,235,2020-10-15,2021-10-15
236,236,2020-08-19,2021-08-19
237,237,2020-12-13,2021-12-13
238,238,2020-11-29,2021-11-29
