user_id,gender,date_of_birth
1,M,1992-01-03
2,F,1988-01-28
3,M,1989-10-28
4,F,1981-11-30
5,M,1991-09-10
6,M,1987-05-14
7,F,1998-08-20
8,F,1990-06-17
9,F,1999-08-31
10,M,1985-06-12
11,M,1985-05-20
12,M,1996-03-03
13,F,1989-09-19
14,M,1999-07-17
15,F,1997-08-13
16,F,1992-04-28
17,M,1985-07-04
18,M,1989-07-27
19,M,1994-04-29
20,F,1966-11-18
21,M,1989-04-24
22,F,1967-03-06
23,M,1987-07-16
24,F,1993-06-11
25,F,1999-05-09
26,F,1991-04-27
27,F,1986-05-01
28,M,1983-08-21
29,F,1997-10-27
30,M,1988-06-08
31,M,1996-02-26
32,F,1994-08-28
33,F,1994-10-19
34,M,1965-05-22
35,F,1985-07-02
36,M,1993-04-04
37,F,1985-05-31
38,M,1986-10-24
39,F,1988-10-01
40,F,1993-12-10
41,F,1993-05-19
42,F,1986-04-19
43,F,1990-07-16
44,M,1985-07-10
45,M,1974-02-02
46,M,1988-12-06
47,F,1997-01-16
48,M,1986-04-17
49,F,1987-02-04
50,F,1993-12-10
51,F,1989-08-27
52,F,1987-03-02
53,F,1990-12-16
54,F,1991-12-08
55,M,1989-12-21
56,F,1976-01-24
57,M,1961-12-29
58,F,1987-06-23
59,F,1994-08-08
60,F,1968-04-02
61,F,1997-07-30
62,M,1999-04-28
63,M,1985-10-17
64,M,1986-08-23
65,M,1988-01-13
66,F,1987-09-04
67,F,1982-08-23
68,M,1998-07-13
69,F,1973-09-30
70,M,1990-07-30
71,M,1992-06-21
72,F,1997-11-01
73,F,1994-02-25
74,F,1985-08-31
75,F,1991-01-22
76,M,1976-07-02
77,F,1992-08-25
78,M,1992-01-28
79,M,1987-10-05
80,M,1995-05-29
81,F,1976-02-11
82,M,1997-10-18
83,M,1999-12-28
84,M,1990-09-26
85,M,1989-06-01
86,F,1989-04-15
87,M,1971-05-14
88,M,1992-08-15
89,M,1998-11-20
90,F,1997-04-24
91,M,1985-03-16
92,M,1992-04-22
93,F,1988-02-01
94,M,1990-05-13
95,M,1987-04-26
96,M,1999-06-16
97,F,1992-07-03
98,M,1985-01-27
99,F,1996-10-23
100,M,1991-08-03
101,F,1997-10-21
102,M,1987-06-08
103,F,1993-07-18
104,F,1994-07-03
105,F,1996-12-24
106,M,1996-08-19
107,F,1990-11-16
108,F,1991-11-20
109,F,1986-06-12
110,F,1992-11-19
111,F,1993-11-29
112,M,1998-04-07
113,M,1987-05-21
114,M,1993-09-18
